pitcher_id,pitch_type,pitch_count,num_clusters,top_cluster,top_cluster_pct,top_3_clusters_pct,top_5_clusters_pct,concentration,entropy,consistency_score,num_clusters_used,cluster_rank1,cluster_rank1_pct,cluster_rank2,cluster_rank2_pct,cluster_rank3,cluster_rank3_pct
689690,SI,32,23,cube5_cluster0,12.5,31.25,43.75,12.5,2.9869773334679377,12.5,23,cube5_cluster0,12.5,cube4_cluster0,12.5,cube34_cluster0,6.25
689690,ST,8,8,cube33_cluster0,12.5,37.5,62.5,12.5,2.0794415416798357,12.5,8,cube33_cluster0,12.5,cube6_cluster3,12.5,cube51_cluster0,12.5
691594,FA,64,32,cube13_cluster0,10.94,26.57,39.07,10.94,3.2317754145584203,10.94,32,cube13_cluster0,10.94,cube4_cluster0,9.38,cube23_cluster0,6.25
694297,CH,161,44,cube4_cluster0,11.8,29.19,38.510000000000005,11.8,3.405536406987547,11.8,44,cube4_cluster0,11.8,cube5_cluster0,9.94,cube23_cluster1,7.45
694297,CU,140,42,cube4_cluster0,17.14,31.43,42.14,17.14,3.316330402304121,17.14,42,cube4_cluster0,17.14,cube5_cluster0,7.86,cube22_cluster0,6.43
694297,FF,210,50,cube4_cluster0,10.95,27.14,35.72,10.95,3.54203868048852,10.95,50,cube4_cluster0,10.95,cube5_cluster0,10.0,cube14_cluster0,6.19
694297,SI,63,31,cube23_cluster0,11.11,28.57,41.27,11.11,3.17295355529339,11.11,31,cube23_cluster0,11.11,cube22_cluster0,9.52,cube5_cluster0,7.94
694297,ST,63,33,cube4_cluster0,19.05,31.75,41.269999999999996,19.05,3.1715793503964558,19.05,33,cube4_cluster0,19.05,cube5_cluster0,7.94,cube67_cluster0,4.76
695243,FF,77,34,cube5_cluster0,14.29,32.47,42.849999999999994,14.29,3.197131814275766,14.29,34,cube5_cluster0,14.29,cube4_cluster0,12.99,cube22_cluster0,5.19
695243,SL,7,6,cube23_cluster0,28.57,57.15,85.72999999999999,28.57,1.748067149102356,28.57,6,cube23_cluster0,28.57,cube24_cluster2,14.29,cube73_cluster0,14.29
702352,CH,12,12,cube13_cluster1,8.33,24.990000000000002,41.65,8.33,2.4843126071174164,8.33,12,cube13_cluster1,8.33,cube12_cluster0,8.33,cube57_cluster1,8.33
702352,FC,64,31,cube4_cluster0,20.31,34.37,46.87,20.31,3.0685047676467443,20.31,31,cube4_cluster0,20.31,cube5_cluster0,7.81,cube44_cluster0,6.25
702352,SI,32,23,cube22_cluster0,9.38,25.01,37.510000000000005,9.38,3.0413010613851137,9.38,23,cube22_cluster0,9.38,cube14_cluster0,9.38,cube23_cluster1,6.25
702352,SV,12,10,cube13_cluster0,16.67,41.67,58.33,16.67,2.253514338452689,16.67,10,cube13_cluster0,16.67,cube4_cluster0,16.67,cube66_cluster0,8.33
702674,CH,55,28,cube4_cluster0,18.18,30.9,41.800000000000004,18.18,3.0727300893414293,18.18,28,cube4_cluster0,18.18,cube22_cluster0,7.27,cube13_cluster0,5.45
702674,CU,25,19,cube4_cluster0,16.0,32.0,44.0,16.0,2.83071340375463,16.0,19,cube4_cluster0,16.0,cube24_cluster1,8.0,cube5_cluster0,8.0
702674,FF,140,43,cube4_cluster0,14.29,30.72,42.15,14.29,3.336328409766432,14.29,43,cube4_cluster0,14.29,cube13_cluster0,8.57,cube5_cluster0,7.86
702674,SL,60,28,cube4_cluster0,13.33,33.33,45.0,13.33,3.0611803080932227,13.33,28,cube4_cluster0,13.33,cube5_cluster0,11.67,cube13_cluster0,8.33
808967,CU,119,39,cube4_cluster0,10.92,30.240000000000002,42.00000000000001,10.92,3.2796950192224537,10.92,39,cube4_cluster0,10.92,cube22_cluster0,10.08,cube12_cluster0,9.24
808967,FC,84,33,cube4_cluster0,16.67,32.14,41.66,16.67,3.1535949820192632,16.67,33,cube4_cluster0,16.67,cube5_cluster0,9.52,cube3_cluster0,5.95
808967,FF,294,47,cube4_cluster0,14.29,29.93,40.13,14.29,3.386924379786146,14.29,47,cube4_cluster0,14.29,cube5_cluster0,8.5,cube22_cluster0,7.14
808967,FS,147,46,cube4_cluster0,13.61,28.57,39.449999999999996,13.61,3.426970167398825,13.61,46,cube4_cluster0,13.61,cube3_cluster0,7.48,cube22_cluster0,7.48
808967,SI,21,12,cube4_cluster0,38.1,57.14,66.66,38.1,2.119871030170767,38.1,12,cube4_cluster0,38.1,cube23_cluster1,9.52,cube5_cluster0,9.52
808967,SL,7,7,cube4_cluster0,14.29,42.87,71.44999999999999,14.29,1.9461938771045295,14.29,7,cube4_cluster0,14.29,cube6_cluster0,14.29,cube23_cluster0,14.29
808967,ST,7,7,cube23_cluster0,14.29,42.87,71.44999999999999,14.29,1.9461938771045295,14.29,7,cube23_cluster0,14.29,cube65_cluster0,14.29,cube4_cluster0,14.29
