pitcher_id,pitch_a,cluster_a,pitch_b,cluster_b,same_cluster
607259,FC,cube22_cluster0,SI,cube12_cluster0,False
607259,FF,cube12_cluster0,PO,cube12_cluster0,True
607259,FF,cube12_cluster0,SI,cube12_cluster0,True
607259,PO,cube12_cluster0,SI,cube12_cluster0,True
607455,CH,cube13_cluster0,FF,cube4_cluster0,True
607455,CH,cube13_cluster0,SI,cube4_cluster0,True
607455,FF,cube4_cluster0,SI,cube4_cluster0,True
607481,CU,cube66_cluster0,ST,cube66_cluster0,True
607481,FC,cube24_cluster0,FF,cube14_cluster0,False
607481,FC,cube24_cluster0,SI,cube14_cluster0,False
607481,FF,cube14_cluster0,SI,cube14_cluster0,True
607536,CH,cube13_cluster0,FC,cube23_cluster0,False
607536,CH,cube13_cluster0,FF,cube13_cluster0,True
607536,CH,cube13_cluster0,SI,cube13_cluster0,True
607536,FC,cube23_cluster0,FF,cube13_cluster0,False
607536,FC,cube23_cluster0,SI,cube13_cluster0,False
607536,FF,cube13_cluster0,SI,cube13_cluster0,True
607536,KC,cube66_cluster0,ST,cube66_cluster0,True
607625,CH,cube12_cluster0,FC,cube22_cluster0,False
